Atomic Number,name,symbol,period,phase,Hint
75,Rhenium,Re,6,solid,Silvery-grayish.  Transition metal. used in jet engines and thermocouples
76,Osmium,Os,6,solid,"Silvery, blue cast.  Transition metal." densest naturally occurring element used in ment tips electrical contacts and surgical tools
77,Iridium,Ir,6,solid,Silvery white.  Transition metal. used i spark plugs and spacecraft
78,Platinum,Pt,6,solid,Silvery white.  Transition metal. extremely unreactive , used in jewlerry catalytic converters and chemotherapy drugs
79,Gold,Au,6,solid,Metallic yellow.  Transition metal. highly valued for beauty  and resistance to tarnish, also used in space gear
81,Thallium,Tl,6,solid,Silvery white.  Post-transition metal.  highly toxic metal once used in rat poison and hair removal creams, now mostly used in electronics
82,Lead,Pb,6,solid,Metallic gray.  Post-transition metal. used in pipes and paints for centuries, mostly phased out due to neurotoxicity
83,Bismuth,Bi,6,solid,Lustrous brownish silver.  Post-transition metal. safest heavy metal used in pepto-bismol crystals form rainbows
84,Polonium,Po,6,solid,Silvery.  Post-transition metal. extremily radioactive with tiny amount can be lethal
85,Astatine,At,6,solid,"Unknown, probably metallic.  Metalloid." rare and unstable with less than 1 g available on  Earth
86,Radon,Rn,6,gas,"Colorless gas, occasionally glows green or red in discharge tubes.  Noble gas." radioactive  gas that naturally seeps from the ground  major cause of lung cancer  after smoking
87,Francium,Fr,7,solid,.  Alkali metal. rarest naturally occuring element, so radioactive that it will vaporize itself before it is seen
88,Radium,Ra,7,solid,Silvery white metallic.  Alkaline earth metal.  dangerously radioactive previously used  in glow in the dark watches
89,Actinium,Ac,7,solid,"Silvery-white, glowing with an eerie blue light; sometimes with a golden cast.  Actinide." glows blue in the dark , used as a neutron source
91,Protactinium,Pa,7,solid,"Bright, silvery metallic luster.  Actinide." named after Thor
92,Uranium,U,7,solid,Silvery gray metallic; corrodes to a spalling black oxide coat in air.  Actinide. mostly used in scientific research
93,Neptunium,Np,7,solid,Silvery metallic.  Actinide. fuel for nuclear power and weapons  found in some types of granite, naturally radioactive
94,Plutonium,Pu,7,solid,"Silvery white, tarnishing to dark gray in air.  Actinide."  infamous for role in nuclear bombs , used in deep space probes
95,Americium,Am,7,solid,Silvery white.  Actinide. found in smoke detectors  helps detect fires in homes
96,Curium,Cm,7,solid,"Silvery metallic, glows purple in the dark.  Actinide."  named after Marie and Pierre Curie, used in space missions as power source

